year,price,mileage
2016,15.996,124.625
2020,31.92,48.029
2017,25.991,28.342
2016,20.995,88.969
2020,42.995,26.338
2021,43.961,16.841
2017,23.8,34.12
2023,48.977,3.948
2021,35.8,17.963
2022,45.99,5.331
2010,10.295,81.93
2021,38.8,47.493
2018,26.99,50.026
2019,27.995,39.33
2019,25.594,43.181
2015,15.98,141.384
2016,19.985,49.299
2020,33.999,32.397
2018,24.449,53.086
2020,30.599,51.001
2016,18.9,85.621
2021,40.594,45.105
2023,44.998,2.933
2009,6.5,140
2017,23,39.401
2023,53.335,0.036
2017,17.995,96.015
2023,46.85,2.992
2018,27,40
2015,19.99,69.078
2023,51.855,0.014
2016,18.977,74.905
2023,53.135,0.01
2023,54.398,2.246
2014,15.49,76.76
2023,49.99,4.362
2019,26.234,54.904
2023,48.991,4.154
2023,50.477,4.685
2023,57.99,0.02
2023,54.999,3.852
2019,34.079,49.576
2020,25.918,94.611
2019,24.5,67.678
2020,30.379,33.221
2019,30.792,21.65
2020,35.9,38
2020,34.387,52.223
2023,51.735,0.009
2014,18.695,39.777
2012,14.495,70.249
2019,28.995,49.357
2023,48.99,4.04
2016,18.995,77
2012,12.598,114.21
2019,24.775,47.554
2016,15.997,131.54
2018,23.923,37.867
2022,48,6.358
2020,31.521,23.845
2016,14.5,100
2019,23.95,75.836
2015,20.877,47.801
2023,48.96,9.084
2013,14.995,65.686
2020,32.991,76.79
2021,31.2,22.729
2018,24.299,53.826
2018,26.995,21.646
2023,46.585,2.734
2013,9.998,139.828
2023,49.977,4.587
2023,48.999,4.435
2010,9.8,139.538
2018,23.965,80.963
2017,16.998,129.32
2013,8.95,152.661
2017,20.995,78.46
2020,34.888,37.945
2021,38.999,21.968
2019,28.995,29.502
2019,26.973,46.906
2011,10.49,121.795
2023,53.435,0.015
2023,51.99,2.324
2009,6.99,160.067
2011,11.495,92.939
2009,11.999,78.913
2023,47.705,2.061
2020,32.601,44.77
2023,49.991,5.509
2023,51.999,3.224
2018,22.995,46.45
2014,16.4,65.94
2020,29.95,29.06
2022,46.99,5.611
2015,17.485,68.847
2013,12.998,80.68
2023,49.991,2.932
2014,14.163,71.274
2019,27.294,22.732
2014,7.95,167.566
2019,32.893,30.291
2023,47.477,3.434
2019,27.56,43.531
2010,10.985,82.664
2016,20.495,55.318
2020,33.161,33.3
2020,34.675,24.862
2023,51.999,3.992
2023,54.998,1.806
2015,15.8,91.133
2023,46.55,1.742
2023,52.991,4.014
2014,13.498,101.98
2014,15.5,71.727
2023,52.999,2.271
2020,32.791,23.928
2023,52.99,0.011
2016,22.995,58.238
2023,48.54,4.633
2016,23.998,37.749
2023,51.994,0.138
2020,33.98,28.796
2023,55.999,4.26
2018,36.99,15.772
2023,51.499,2.759
2023,49.99,5.728
2023,51.405,0.366
2023,51.999,2.644
2008,6.698,123.976
2018,23.397,53.548
2020,34.658,32.242
2017,17.995,77.82
2023,49.99,6.215
2015,17.999,100.522
2023,48.984,5.986
2020,33.994,19.166
2015,17.788,81.294
2019,25.162,50.233
2023,51.755,0.016
2014,16.349,56.737
2020,32.957,36.212
2019,28.9,54.751
2022,48.999,0.171
2010,9.5,145.7
2023,47.977,4.541
2020,40,25.289
2013,6.95,131.806
2017,24.5,57.488
2021,27,82.145
2019,21.921,71.208
2023,47.901,6.342
2016,18.367,106.04
2019,29.74,40.362
2016,17.999,109.664
2010,13.995,46.173
2023,50.999,3.503
2015,16.4,77.209
2019,39.9,18.884
2017,19.995,74.001
2020,34.698,22.035
2020,27.89,48.051
2023,50.394,4.486
2010,13.988,67.058
2023,55.865,4.391
2009,9.98,81.217
2023,51.99,5.732
2017,21.5,84.904
2021,34.688,33.604
2009,10.99,73.57
2023,49.161,2.905
2020,26.9,67.264
2012,10.99,109.246
2014,14.999,75.121
2023,49.57,2.601
2019,26.995,39.466
2023,50.163,8.179
2017,33.99,52.947
2022,42.591,14.307
2023,47.7,5.842
2020,29.995,48.57
2023,52.755,4.4
2016,19.893,66.269
2020,31.988,32.12
2014,12.995,106.308
2012,10.277,118.259
2018,34.8,22.489
2016,19.692,71.973
2015,16.395,79.92
2019,33.995,21.133
2008,8.999,113.277
2023,46.893,9.569
2016,16.995,90.114
2008,8.4,106.424
2015,18,74.683
2015,20,66.123
2020,42.495,24.635
2023,53.12,37.237
2019,22.291,56.194
