year,price,mileage
2018,17.89,71.417
2023,52.055,7.548
2019,27.996,41.017
2021,49.987,16.695
2023,44.655,8.943
2019,28.297,49.411
2023,51.899,5.155
2023,44.705,8.945
2020,26.545,36.54
2020,33.799,25.083
2021,37.846,12.416
2020,36.918,29.869
2023,47.486,7.927
2021,27.288,29.072
2019,34.99,55.455
2023,50.505,4.02
2023,50.797,9.662
2023,52.995,5.544
2020,31.995,41.504
2017,19.738,61.245
2020,29,24.736
2023,48.995,0.761
2020,32.995,16.071
2023,50.005,7.592
2020,34.795,27.443
2020,34.196,27.376
2020,35.9,7.729
2019,32.995,27.429
2020,32.24,10.98
2020,33.205,25.234
2023,47.363,5.669
2018,27.995,55.955
2023,49.865,6.933
2023,47.2,8.937
2023,51.9,5.97
2022,47.998,9.613
2018,29.95,40.74
2021,42.998,17.447
2017,15.888,83.21
2020,36.652,22.587
2020,34.495,18.62
2020,32.168,36.964
2023,52.354,5.441
2023,64.995,3.812
2020,29.991,26.391
2023,46.997,6.108
2023,47.105,4.251
2023,45.705,8.403
2020,31.495,28.507
2023,46.455,8.213
2020,36.998,12.646
2019,23.995,35.755
2020,47.998,24.356
2020,33.995,10.742
2020,31.496,23.432
2021,39.995,13.52
2020,33.995,20.336
2019,25.845,41.238
2023,49.797,6.459
2020,36.927,17.687
2023,46.901,7.764
2020,28.388,22.714
2020,34.9,27.059
2022,47.4,4.86
2023,45.705,7.78
2021,36.49,22.165
2020,34.9,11.94
2020,36.998,7.111
2021,36.693,5.761
2023,52.994,4.27
2023,56.997,7.19
2020,29.998,29.371
2023,44.705,9.39
2020,36.926,11.458
2020,33.699,24.249
2022,44.9,7.93
2023,50.65,2.802
2020,33.421,13.409
2016,20.695,37.722
2017,18.598,79.037
2020,29.995,20.095
2019,31.98,72.495
2023,49,2.321
2015,17.799,74.633
2023,47.995,8.047
2023,46.105,4.248
2023,44.76,7.834
2019,29.995,36.127
2022,56.998,3.184
2017,34.54,36.365
2019,32.9,8.22
2020,48.45,20.66
2020,29.581,36.522
2023,45.387,4.63
2020,26.988,28.325
2018,19.85,41.387
2022,43.995,6.744
2019,27.998,17.625
2020,31.705,30.907
2023,49.795,7.485
2021,36.981,10.706
2021,32.99,8.36
2019,28.538,15.896
2020,31.918,25.771
2020,34.995,27.229
2018,20.9,60.289
2022,42.495,2.082
2020,33.777,7.437
2021,34.634,18.993
2023,47.495,3
2022,44.9,6.68
2020,34.994,21.034
2023,45.405,8.628
2023,45.705,8.82
2013,10.497,96.263
2020,34.925,20.576
2020,33.9,20.65
2022,43.703,11.284
2023,44.831,7.943
2023,53.995,3.79
2021,38.49,12.992
2015,14.489,84.633
2022,45.499,7.791
2019,24.995,53.873
2019,25.788,48.304
2023,50.8,3.121
2021,32.995,11.378
2020,30.797,44.94
2019,30.955,31.522
2020,37.995,22.218
2023,47.989,7.308
2020,33.774,10.656
2020,33.9,19.06
2023,49.385,6.951
2020,33.178,29.01
2020,34.346,25.268
2021,36.49,28.661
2023,46.695,4.292
2023,51.899,3.924
2020,31.995,15.665
2020,29.698,34.277
2019,24.8,37.67
2023,44.705,8.97
2021,35.782,13.896
2020,48.497,15.204
2008,7.995,83.189
2020,44.2,34.028
2012,9.995,112.318
2017,16.554,85.025
2019,31.845,28.578
2020,33.794,29.16
2020,31.695,34.324
2019,32.222,21.192
2019,30.541,23.368
2020,37.588,31.053
2020,36.337,14.221
2020,33.413,32.41
2020,33.9,28.797
2019,29.425,38.738
2022,58.9,6.876
2020,33.98,7.741
2023,47.785,5.067
2019,33.998,15.62
2023,48.676,5.578
2018,25.004,55.86
2020,47.995,3.409
2020,29.2,42.398
2023,44.6,7.051
2020,34.377,16.44
2020,54.999,6.967
2020,32.9,27.551
2020,33.078,6.584
2023,47.768,6.193
2016,17.689,50.92
2023,52.306,4.446
2019,31.776,27.214
2023,49.005,8.384
2018,25.9,81.985
2019,23.995,38.869
2020,35.9,32.604
2020,31.492,28.087
2020,32.959,17.352
2022,46.988,0.385
2020,32.966,24.54
2022,48.995,8.198
2020,32.995,10.131
2023,44.29,8.643
2020,36.998,36.132
2020,48.994,22.523
2023,49.899,6.629
2023,48.5,6.935
2016,12.995,98.178
2021,37.481,9.077
2020,39.995,21.613
2019,23.288,35.377
2020,33.981,24.051
2023,47.862,5.824
2020,33.7,29.442
2020,35.272,26.382
2022,47.981,4.613
